,text,likes,retweets,replies,Year,lemmatized,polarity,subjectivity,polarity_text
30484,Sony takes on Nokia 808/Lumia 1020 with its 48 MP sensor http://nokiamob.net/2018/07/24/sony-takes-on-nokia-808-lumia-1020-with-its-48-mp-sensor/ …pic.twitter.com/Rie7daUSVW,22,2,0,2018,sony take nokia 808 lumia 1020 with it 48 mp sensor nokiamob net 2018 07 24 sony take nokia 808 lumia 1020 with it 48 mp sensor pic twitter com rie7dausvw,0.0,0.0,neutral
30516,"Mi A2,Honor 9N,Oppo Dual Display,Samsung Gaming Phone,YouTube Explore,Xiaomi Bip,Nokia Flagship-#591: http://youtu.be/ZF-ss70Esho?a  via",75,7,6,2018,mi a2 honor 9n oppo dual display samsung gaming phone youtube explore xiaomi bip nokia flagship 591 youtu be zf ss70esho,0.0,0.0,neutral
30641,A guy just sent me a pic of his dick next to a Nokia 3310 for perspective. I am truly speechless.,33,0,3,2018,guy just sent me pic his dick next nokia 3310 perspective am truly speechless,0.0,0.0,neutral
30673,Nokia 6.1 plus (global Nokia X6) & Nokia 8110 4G launched in Taiwan #Nokia #Nokia6.1Plus #NokiaX6 https://www.nokiacamp.com/nokia-6-1-plus-global-nokia-x6-nokia-8110-4g-launched-taiwan/ …pic.twitter.com/wU8XdDGbyP,20,3,3,2018,nokia 6 1 plus global nokia x6 nokia 8110 4g launched taiwan nokia nokia6 1plus nokiax6 nokiacamp com nokia 6 1 plus global nokia x6 nokia 8110 4g launched taiwan pic twitter com wu8xddgbyp,0.0,0.0,neutral
30756,"Age (years)
Nokia 153
Ericsson 142
Nintendo 129
GE 126
AT&T 117
IBM 103
Motorola 90
HP 79
Sony 72
Intel 50
Microsoft 43
Apple 42
Verizon 35
Dell 34
Cisco 34
Amazon 22
Netflix 21
Google 20
Alibaba 19
Salesforce 19
Tesla 15
Facebook 14
Airbnb 10
Uber 9
via @ValaAfshar
Telefonica 94",194,116,6,2018,age year nokia 153 ericsson 142 nintendo 129 ge 126 at t 117 ibm 103 motorola 90 hp 79 sony 72 intel 50 microsoft 43 apple 42 verizon 35 dell 34 cisco 34 amazon 22 netflix 21 google 20 alibaba 19 salesforce 19 tesla 15 facebook 14 airbnb 10 uber 9 valaafshar telefonica 94,0.0,0.0,neutral
30832,"Shot on #Nokia8 with pro mode
@Nokiamobile @nokia pic.twitter.com/s3X5N2ykB2",36,0,0,2018,shot nokia8 with pro mode nokiamobile nokia pic twitter com s3x5n2ykb2,0.0,0.0,neutral
30854,"A Day In The Life Of Landscape Photographer.
.
.
.
Captured with Pro Camera mode of  Nokia 7 Plus with a ISO of 200  & shutter speed of 4 seconds.
#Nokia7plus #longexposure #Monsoon2018 #Goa #india @ZEISSLenses @NokiamobileIN @sarvikas @mehta_ajey @Nokiamobilepic.twitter.com/MQNYIQSbJX",58,1,2,2018,day life landscape photographer captured with pro camera mode nokia 7 plus with iso 200 shutter speed 4 second nokia7plus longexposure monsoon2018 goa india zeisslenses nokiamobilein sarvikas mehta_ajey nokiamobilepic twitter com mqnyiqsbjx,0.0,0.0,neutral
30881,"Google, Nokia, Sony or HTC, OnePlus, maybe Huawei, then a big gap and Samsung, LG etc.",26,0,0,2018,google nokia sony or htc oneplus maybe huawei then big gap samsung lg etc,0.0,0.1,neutral
31068,"Age (years):

Nokia 153
Ericsson 142
Nintendo 129
GE 126
AT&T 117
IBM 103
Motorola 90
Samsung 80
HP 79
Sony 72
Comcast 55
Intel 50
Microsoft 43
Apple 42
Verizon 35
Dell 34
Cisco 34
Amazon 22
Netflix 21
Google 20
Alibaba 19
Salesforce 19
Tesla 15
Facebook 14
Airbnb 10
Uber 9",63,45,0,2018,age year nokia 153 ericsson 142 nintendo 129 ge 126 at t 117 ibm 103 motorola 90 samsung 80 hp 79 sony 72 comcast 55 intel 50 microsoft 43 apple 42 verizon 35 dell 34 cisco 34 amazon 22 netflix 21 google 20 alibaba 19 salesforce 19 tesla 15 facebook 14 airbnb 10 uber 9,0.0,0.0,neutral
31190,"#AshAnswers 104 - OnePlus 6 Giveaway Result, OPPO Find X, Nokia X6 Compatibility, Apple Music...: http://youtu.be/lpsGQt3Z8H4?a  via @YouTube",294,27,16,2018,ashanswers 104 oneplus 6 giveaway result oppo find nokia x6 compatibility apple music youtu be lpsgqt3z8h4 youtube,0.0,0.0,neutral
31418,matt stans complaining abt the nokia video vs halsey stans complaining abt the mall video,26,3,0,2018,matt stans complaining abt nokia video v halsey stans complaining abt mall video,0.0,0.0,neutral
31472,"Shot on #Nokia7plus in #HDR
Glimpse of @TourismSikkim
@NokiaMobile @nokia #landscape #landscapephotography #LandscapeArtistOfTheYear @NatGeoTravel @GoogleTravel @travelocity #instagram
@instagram
@lonelyplanetpic.twitter.com/ys9mtxLXc7",48,1,0,2018,shot nokia7plus hdr glimpse tourismsikkim nokiamobile nokia landscape landscapephotography landscapeartistoftheyear natgeotravel googletravel travelocity instagram instagram lonelyplanetpic twitter com ys9mtxlxc7,0.0,0.0,neutral
31548,Nokia 8.1 launch might be closer than you think https://www.91mobiles.com/hub/nokia-8-1-launch-nokia-x7-specifications-price-google-arcore-ncc-taiwan/?utm_source=twitter&utm_medium=post …,43,8,3,2018,nokia 8 1 launch might be closer than you 91mobiles com hub nokia 8 1 launch nokia x7 specification price google arcore ncc taiwan utm_source twitter utm_medium post,0.0,0.0,neutral
31589,"Nokia 7 plus and a mystical sunrise 
@NokiamobBlog @NokiaMobile #Nokia7plus #photography #nature #landscape #landscapephotography #lake #sunrise #mistic #Samobor #croatiapic.twitter.com/m1CW8GQmXp",311,28,4,2018,nokia 7 plus mystical sunrise nokiamobblog nokiamobile nokia7plus photography nature landscape landscapephotography lake sunrise mistic samobor croatiapic twitter com m1cw8gqmxp,0.0,0.0,neutral
31595,Captured with Nokia 6.1 @NokiaMobile @ZEISSLenses @NokiamobBlog #longexposure #Nokia6pic.twitter.com/vMNOBCfIh7,59,2,3,2018,captured with nokia 6 1 nokiamobile zeisslenses nokiamobblog longexposure nokia6pic twitter com vmnobcfih7,0.0,0.0,neutral
31616,Jihoon's fancafe selca quality feels like the boy's using a nokia from 2001,507,291,1,2018,jihoon fancafe selca quality feel like boy using nokia from 2001,0.0,0.0,neutral
31653,"Redmi Price Hike,Facebook Lasso,Nokia 9,5G Issue India,Huawei Speaker Camera,Samsung J4 Core-#682: http://youtu.be/MkoLa0fFH5M?a  via",99,8,3,2018,redmi price hike facebook lasso nokia 9 5g issue india huawei speaker camera samsung j4 core 682 youtu be mkola0ffh5m,0.0,0.0,neutral
31656,"I added a video to a @YouTube playlist http://youtu.be/MkoLa0fFH5M?a  Redmi Price Hike,Facebook Lasso,Nokia 9,5G Issue India,Huawei Speaker",92,9,6,2018,added video youtube playlist youtu be mkola0ffh5m redmi price hike facebook lasso nokia 9 5g issue india huawei speaker,0.0,0.0,neutral
31731,Shot on Nokia 8 @NokiaMobilepic.twitter.com/FJWpSfLOjX,71,2,2,2018,shot nokia 8 nokiamobilepic twitter com fjwpsflojx,0.0,0.0,neutral
31748,Similar stuff Nokia said.,53,3,4,2018,similar stuff nokia said,0.0,0.4,neutral
31866,"If anyone has seen my Nokia touchlight, carry the phone but please I need the SIM 

If anyone has seen my iPhone xs max, carry the SIM, it's my bank account number, hack me and withdraw every thing but please return the phone
",24,2,1,2018,if anyone ha seen my nokia touchlight carry phone but please need sim if anyone ha seen my iphone x max carry sim my bank account number hack me withdraw every thing but please return phone,0.0,0.0,neutral
32093,So none among my crushes can gift me this Nokia 7 plus ko? Issokay  pic.twitter.com/Q7jpJVMxOH,22,3,11,2018,so none among my crush can gift me this nokia 7 plus ko issokay pic twitter com q7jpjvmxoh,0.0,0.0,neutral
32185,"A moment recorded whit Nokia 6
@NokiamobBlog #Nokia6 #Landscape #Nature #Clouds #Samobor #Croatiapic.twitter.com/ijSG0nJ15w",27,3,0,2018,moment recorded whit nokia 6 nokiamobblog nokia6 landscape nature cloud samobor croatiapic twitter com ijsg0nj15w,0.0,0.0,neutral
32339,"Nokia 2.1, Nokia 3.1, and Nokia 5.1 Android One smartphones announced http://dlvr.it/QVd2Zs pic.twitter.com/IFtchQSixF",22,14,7,2018,nokia 2 1 nokia 3 1 nokia 5 1 android one smartphones announced dlvr qvd2zs pic twitter com iftchqsixf,0.0,0.0,neutral
32375,Nokia 7 Plus review (Daily Driver For 40 Days): The flagship killer #Nokia7Plus https://nokiapoweruser.com/nokia-7-plus-review-daily-driver-for-40-days-the-flagship-killer/ …pic.twitter.com/5eJHOina8C,27,2,1,2018,nokia 7 plus review daily driver 40 day flagship killer nokia7plus nokiapoweruser com nokia 7 plus review daily driver 40 day flagship killer pic twitter com 5ejhoina8c,0.0,0.0,neutral
32538,Nairobi Traffic Shot on the Nokia 7 Plus pic.twitter.com/OzczTPf9EC,30,2,3,2018,nairobi traffic shot nokia 7 plus pic twitter com ozcztpf9ec,0.0,0.0,neutral
32787,"That's what Nokia is known for over decades!
Durability in Budget!!",72,0,0,2019,that what nokia known over decade durability budget,0.0,0.0,neutral
32827,"Trustful brand
 Nokia",27,0,1,2019,trustful brand nokia,0.0,0.0,neutral
32942,This is the Nokia 3310 of cars.,1269,50,2,2019,this nokia 3310 car,0.0,0.0,neutral
32944,Price drop: Nokia 7.1 and Nokia 3.1 Plus hit all time low price https://nokiapoweruser.com/deal-nokia-7-1-and-nokia-3-1-plus-hit-all-time-low-price/ …pic.twitter.com/iBKcRoAr3Z,53,2,2,2019,price drop nokia 7 1 nokia 3 1 plus hit all time low price nokiapoweruser com deal nokia 7 1 nokia 3 1 plus hit all time low price pic twitter com ibkcroar3z,0.0,0.3,neutral
33014,Nokia 2 V appears online as a re-branded Nokia 2.1 https://www.xda-developers.com/nokia-2-v-re-branded-nokia-2-1/ …pic.twitter.com/CdMllXprMT,73,7,1,2019,nokia 2 v appears online a re branded nokia 2 1 xda developer com nokia 2 v re branded nokia 2 1 pic twitter com cdmllxprmt,0.0,0.0,neutral
33070,#5G is the next generation of communications which will touch everyone's lives says our @LauriMTO @nokia @BellLabs to @eschulze9 @CNBCi at our HQ in Finland. Also featuring our customer @Janne_Koistinen @TeliaCompany. #latency #securityhttps://twitter.com/CNBCi/status/1080901609368895488 …,100,27,1,2019,5g next generation communication which will touch everyone life say our laurimto nokia belllabs eschulze9 cnbci at our hq finland also featuring our customer janne_koistinen teliacompany latency securityhttps twitter com cnbci status 1080901609368895488,0.0,0.0,neutral
33311,Do ye even have a Nokia if ye don’t plaster it on your story,78,8,1,2018,do ye even have nokia if ye don t plaster your story,0.0,0.0,neutral
33337,"Founded

1865 Nokia
1876 Ericsson
1911 IBM
1928 Motorola
1938 Samsung
1939 HP
1946 Sony
1963 Comcast
1968 Intel
1975 Microsoft
1976 Apple
1984 Dell
1984 Cisco
1994 Amazon
1997 Netflix
1998 Google
1999 Salesforce
2003 Tesla
2004 Facebook
2006 Twitter
2008 Airbnb
2009 Uber #CCE2018",164,108,13,2018,founded 1865 nokia 1876 ericsson 1911 ibm 1928 motorola 1938 samsung 1939 hp 1946 sony 1963 comcast 1968 intel 1975 microsoft 1976 apple 1984 dell 1984 cisco 1994 amazon 1997 netflix 1998 google 1999 salesforce 2003 tesla 2004 facebook 2006 twitter 2008 airbnb 2009 uber cce2018,0.0,0.0,neutral
33456,Took from my Nokia 6.1 in Egypt  @nokianetworks @NokiaMobile @nokia @NokiaMobilepic.twitter.com/j1DhXWRcEv,24,0,0,2018,took from my nokia 6 1 egypt nokianetworks nokiamobile nokia nokiamobilepic twitter com j1dhxwrcev,0.0,0.0,neutral
33458,Shot with Nokia 6.1 @NokiaMobilepic.twitter.com/ltjP6ekaZi,26,0,0,2018,shot with nokia 6 1 nokiamobilepic twitter com ltjp6ekazi,0.0,0.0,neutral
33460,Shot on Nokia 6.1 @NokiaMobilepic.twitter.com/5n8doSN98C,67,0,4,2018,shot nokia 6 1 nokiamobilepic twitter com 5n8dosn98c,0.0,0.0,neutral
33553,"Shot on Nokia 8 
#Nokia8
@NokiamobileIN
@Nokiapoweruser
@NokiaMobile
@NokiamobBlog
@nokiamobileru
@ZEISSLenses
#Ahmedabad
#streetphotographypic.twitter.com/UxDYwwinJ1",44,1,1,2018,shot nokia 8 nokia8 nokiamobilein nokiapoweruser nokiamobile nokiamobblog nokiamobileru zeisslenses ahmedabad streetphotographypic twitter com uxdywwinj1,0.0,0.0,neutral
33626,Took from my Nokia 6.1 @NokiaMobile @sarvikas @NatGeo @ZEISS_Grouppic.twitter.com/duMDkEIwdW,22,1,0,2018,took from my nokia 6 1 nokiamobile sarvikas natgeo zeiss_grouppic twitter com dumdkeiwdw,0.0,0.0,neutral
33674,"Shot on Nokia 8 Processed 
@NokiaMobile @NokiamobileIN @Nokiapoweruser @NokiamobBlog @ZEISSLensespic.twitter.com/SPFOjLFcXd",122,3,7,2018,shot nokia 8 processed nokiamobile nokiamobilein nokiapoweruser nokiamobblog zeisslensespic twitter com spfojlfcxd,0.0,0.0,neutral
33707,"Leading lines 
Shot on Nokia 6.1 
@NokiaMobile @nokia pic.twitter.com/BvsFSrxJkj",29,2,0,2018,leading line shot nokia 6 1 nokiamobile nokia pic twitter com bvsfsrxjkj,0.0,0.0,neutral
33732,"Mark & Sunny at the 66th Primetime Emmy Awards at the Nokia Theatre L.A. Aug. 25, 2014. 
#MarkRuffalo
#SunriseRuffalopic.twitter.com/Zy3par3EMj",44,21,0,2018,mark sunny at 66th primetime emmy award at nokia theatre l aug 25 2014 markruffalo sunriseruffalopic twitter com zy3par3emj,0.0,0.0,neutral
33809,I received Google Security update of October on my Nokia 3 #nokia3 #Nokia #Android #AndroidOreo @nokiamobile @nokia @sarvikas @Android @AndroidAuth @xdadevelopers @NokiamobBlog @Nokiapoweruser @NokiaRevolutionpic.twitter.com/11nSjH71J7,21,2,0,2018,received google security update october my nokia 3 nokia3 nokia android androidoreo nokiamobile nokia sarvikas android androidauth xdadevelopers nokiamobblog nokiapoweruser nokiarevolutionpic twitter com 11nsjh71j7,0.0,0.0,neutral
33821,Took them with my Nokia 7 ,23,1,4,2018,took them with my nokia 7,0.0,0.0,neutral
33854,ETTelecom | Nokia to deploy public safety equipment for BSNL http://telecom.economictimes.indiatimes.com/news/nokia-to-deploy-public-safety-equipment-for-bsnl/66329714 …,21,8,0,2018,ettelecom nokia deploy public safety equipment bsnl telecom economictimes indiatimes com news nokia deploy public safety equipment bsnl 66329714,0.0,0.06666666666666667,neutral
33876,HDR Services for Nokia 7.1 appears in Play Store. Sales start in launch markets https://nokiapoweruser.com/hdr-services-for-nokia-7-1-appears-in-play-store-sales-start-in-launch-markets/ …pic.twitter.com/LHWMshjtq0,25,4,1,2018,hdr service nokia 7 1 appears play store sale start launch market nokiapoweruser com hdr service nokia 7 1 appears play store sale start launch market pic twitter com lhwmshjtq0,0.0,0.0,neutral
33948,"Nokia 2, 3, 3.1 (TA-1063) and 6.1 (TA-1043) received the August Security patch http://nokiamob.net/2018/08/29/nokia-2-3-3-1-ta-1063-and-6-1-ta-1043-received-the-august-security-patch/ …pic.twitter.com/5KHsdzuMeJ",47,6,1,2018,nokia 2 3 3 1 ta 1063 6 1 ta 1043 received august security patch nokiamob net 2018 08 29 nokia 2 3 3 1 ta 1063 6 1 ta 1043 received august security patch pic twitter com 5khsdzumej,0.0,0.0,neutral
34209,"Nokia Lumia 1020 clicked and processed!!
#Lakeside #odisha #Blackandwhitephotos @Nokiapoweruser @ZEISSLenses @500px @googlesnapseed @Nokiamobile @NokiamobBlogpic.twitter.com/5MxKUxUG4X",23,1,0,2018,nokia lumia 1020 clicked processed lakeside odisha blackandwhitephotos nokiapoweruser zeisslenses 500px googlesnapseed nokiamobile nokiamobblogpic twitter com 5mxkuxug4x,0.0,0.0,neutral
34456,"Shot on Nokia 8 Processed 
@Nokiamobile @NokiamobileIN @mehta_ajey @sarvikas @DhingraRisha @Nokiapoweruser @NokiamobBlog @ZEISSLenses @500px @NatGeoPhotospic.twitter.com/QDXXXg2475",55,3,2,2018,shot nokia 8 processed nokiamobile nokiamobilein mehta_ajey sarvikas dhingrarisha nokiapoweruser nokiamobblog zeisslenses 500px natgeophotospic twitter com qdxxxg2475,0.0,0.0,neutral
34513,"Video: Samsung Galaxy J8 vs Nokia 6.1 Plus Speed Test Comparison, Benchmarks http://youtu.be/7-eLpPNoul8?a ",39,30,20,2018,video samsung galaxy j8 v nokia 6 1 plus speed test comparison benchmark youtu be 7 elppnoul8,0.0,0.0,neutral
34623,Why Princess Nokia look like a peach 4 loko @RollingLoudpic.twitter.com/PQNkdt9TDp,35,7,1,2018,why princess nokia look like peach 4 loko rollingloudpic twitter com pqnkdt9tdp,0.0,0.0,neutral
34657,Is...is that an iPhone in Damons hand? Has........has he finally ditched the Nokia? https://twitter.com/damonunofficial/status/995371097288736768 …,21,6,0,2018,that an iphone damon hand ha ha he finally ditched nokia twitter com damonunofficial status 995371097288736768,0.0,1.0,neutral
34719,HE HAVE A PHONE AND HIS HAND AND ISN'T A NOKIA 1100 WHAT IS HAPPENING pic.twitter.com/qgvSFn1WGv,22,2,0,2018,he have phone his hand isn t nokia 1100 what happening pic twitter com qgvsfn1wgv,0.0,0.0,neutral
34807,At last Nokia is a legend something cardboard B will never relate to,63,1,2,2018,at last nokia legend something cardboard will never relate,0.0,0.06666666666666667,neutral
34846,Nokia 6.1 (2018) for $269 -- https://buff.ly/2IrH2kj ,25,3,0,2018,nokia 6 1 2018 269 buff 2irh2kj,0.0,0.0,neutral
34879,"Mi 8,Facebook Bitcoins,S3 Cab,Triple Display Phone,LG Q7,YouTube Take a Break,Nokia X6-#529: http://youtu.be/XT4h6_p1nlQ?a  via @YouTube",45,3,1,2018,mi 8 facebook bitcoins s3 cab triple display phone lg q7 youtube take break nokia x6 529 youtu be xt4h6_p1nlq youtube,0.0,0.0,neutral
35144,i just said nokia wasnt a console  why they gotta do me like that ,37,0,6,2018,just said nokia wasnt console why gotta do me like that,0.0,0.0,neutral
35316,".@MarcusWeldon, President of @Nokia @BellLabs, presents 2018 #NobelPrize Laureate Arthur Ashkin with a commemorative plaque.pic.twitter.com/8Ymvmdg38t",47,11,1,2018,marcusweldon president nokia belllabs present 2018 nobelprize laureate arthur ashkin with commemorative plaque pic twitter com 8ymvmdg38t,0.0,0.0,neutral
35558,Nobel Prize: Rumson's Arthur Ashkin to be honored at Nokia Bell Labs in Murray Hill http://dlvr.it/QtnXjP pic.twitter.com/tGFxePOfXd,38,8,0,2018,nobel prize rumson arthur ashkin be honored at nokia bell lab murray hill dlvr qtnxjp pic twitter com tgfxepofxd,0.0,0.0,neutral
35698,Captured with Nokia 6.1 @NokiaMobilepic.twitter.com/nKu5MNA9fS,109,4,5,2018,captured with nokia 6 1 nokiamobilepic twitter com nku5mna9fs,0.0,0.0,neutral
35735,"Which smartphone do you prefer between 20 k - 30 k ?
#nokia #PoCo #samsung #ASUS",34,8,7,2018,which smartphone do you prefer between 20 k 30 k nokia poco samsung asus,0.0,0.0,neutral
35826,"Nokia 8.1 FAQs, user queries answered: All that you need to know https://nokiapoweruser.com/nokia-8-1-faqs-user-queries-answered-all-that-you-need-to-know/ …pic.twitter.com/UuFnhMqTbF",46,4,4,2018,nokia 8 1 faq user query answered all that you need know nokiapoweruser com nokia 8 1 faq user query answered all that you need know pic twitter com uufnhmqtbf,0.0,0.0,neutral
35875,Nokia's not Finnish. It's only 28,316,18,9,2018,nokia not finnish only 28,0.0,1.0,neutral
36165,"Finnish companies Nokia, Neste, Vaisala, Outotec, Fortum and Wärtsilä are engaged in energy projects and collaborations around the world http://ow.ly/mgJo30kOy4y  @nokia @NesteGlobal @VaisalaGroup @outotec @Fortum @wartsilacorp #Finland #SmartCity #renewables #cleantech",27,7,0,2018,finnish company nokia neste vaisala outotec fortum wärtsilä are engaged energy project collaboration around world ow mgjo30koy4y nokia nesteglobal vaisalagroup outotec fortum wartsilacorp finland smartcity renewables cleantech,0.0,0.0,neutral
36173,"Shot on Nokia 8 processed 
@Nokiamobile @NokiamobileIN @mehta_ajey @sarvikas @DhingraRisha @Nokiapoweruser @NokiamobBlog @ZEISSLenses @500pxpic.twitter.com/HdO1VVWFY1",40,3,0,2018,shot nokia 8 processed nokiamobile nokiamobilein mehta_ajey sarvikas dhingrarisha nokiapoweruser nokiamobblog zeisslenses 500pxpic twitter com hdo1vvwfy1,0.0,0.0,neutral
36249,Who wouldn't want to sign a £12m player who snacks on dumbells & has Nokia 3310's as shin pads incase someone runs into his calfs to phone an ambulance. #LFC #Shaqiripic.twitter.com/cWPyEG6gXs,65,25,3,2018,who wouldn t want sign 12m player who snack dumbells ha nokia 3310 a shin pad incase someone run into his calf phone an ambulance lfc shaqiripic twitter com cwpyeg6gxs,0.0,0.0,neutral
36276,"QWERTY-packing JioPhone 2 unveiled, it and the Nokia 8110 4G are getting WhatsApp http://dlvr.it/QZYk4r pic.twitter.com/NvKxbcTeZZ",36,8,2,2018,qwerty packing jiophone 2 unveiled nokia 8110 4g are getting whatsapp dlvr qzyk4r pic twitter com nvkxbctezz,0.0,0.0,neutral
36356,"After Jio Phone Announcement, Nokia 8810 4G Teased to Get WhatsApp Support
https://gadgets.ndtv.com/mobiles/news/nokia-8810-4g-whatsapp-support-hmd-global-juho-sarvikas-jio-phone-kaios-1878565 …",27,9,1,2018,after jio phone announcement nokia 8810 4g teased get whatsapp support gadget ndtv com mobile news nokia 8810 4g whatsapp support hmd global juho sarvikas jio phone kaios 1878565,0.0,0.0,neutral
36448,Tour around the @Nokia #5G connected city at #MWC19 https://nokiamob.net/2019/02/28/tour-around-the-nokia-5g-connected-city-at-mwc19/ …pic.twitter.com/m506QBfvH1,69,13,1,2019,tour around nokia 5g connected city at mwc19 nokiamob net 2019 02 28 tour around nokia 5g connected city at mwc19 pic twitter com m506qbfvh1,0.0,0.0,neutral
36478,Buying a Nokia as we speak. Finland stronk,61,1,3,2019,buying nokia a we speak finland stronk,0.0,0.0,neutral
36481,"Nokia takes camera to the next level
Samsung takes hardware to the next level
Google takes software to the next level

But Apple takes price to the next level pic.twitter.com/MaTxvBwsEf",185,76,4,2019,nokia take camera next level samsung take hardware next level google take software next level but apple take price next level pic twitter com matxvbwsef,0.0,0.0,neutral
36488,And be shaking like vibrating Nokia torch ,24,1,0,2019,be shaking like vibrating nokia torch,0.0,0.0,neutral
36491,Experience #SpidermanFarFromHome (in Cinemas July) in a #5G multiplayer #VR experience at Intel & @Nokia booths at #MWC19 @SonyPicturesVRpic.twitter.com/vmvKYo12Yb,112,20,1,2019,experience spidermanfarfromhome cinema july 5g multiplayer experience at intel nokia booth at mwc19 sonypicturesvrpic twitter com vmvkyo12yb,0.0,0.0,neutral
36547,"If (user location = #Iran) 
{then all #iPhoneXS = #nokia 1100} ;
#ios
#اپل",30,4,4,2019,if user location iran then all iphonexs nokia 1100 io اپل,0.0,0.0,neutral
36590,Nokia 7 Plus started receiving the February security update https://nokiamob.net/2019/02/28/nokia-7-plus-started-receiving-the-february-security-update/ …pic.twitter.com/aZZ1Kgui4Q,45,3,3,2019,nokia 7 plus started receiving february security update nokiamob net 2019 02 28 nokia 7 plus started receiving february security update pic twitter com azz1kgui4q,0.0,0.0,neutral
36893,The five-camera Nokia 9 PureView hits the US March 3rd https://engt.co/2EjPvll pic.twitter.com/SPcOg7QVsN,29,16,6,2019,five camera nokia 9 pureview hit march 3rd engt co 2ejpvll pic twitter com spcog7qvsn,0.0,0.0,neutral
37411,"Shot On Nokia 8 Processed 
@Nokiamobile @NokiamobileIN @Nokiapoweruser @NokiamobBlog @500px @ZEISSLenses @sarvikas @nokia pic.twitter.com/x3GTGfOZ0X",47,3,1,2018,shot nokia 8 processed nokiamobile nokiamobilein nokiapoweruser nokiamobblog 500px zeisslenses sarvikas nokia pic twitter com x3gtgfoz0x,0.0,0.0,neutral
37556,"Nokia X to Be Another Affordable Smartphone, Suggests CCC Listing
https://gadgets.ndtv.com/mobiles/news/nokia-x-ccc-listing-certification-10w-charger-1841579 …",30,14,0,2018,nokia be another affordable smartphone suggests ccc listing gadget ndtv com mobile news nokia ccc listing certification 10w charger 1841579,0.0,0.0,neutral
37782,"Tiger 5 birdies thru 7. Two off the lead and hitting irons that are NSFW!

I'd Western Union £180 a month to a Nigerian dude on email watching on a Nokia 3210 for this with an HDMI cable up my arse!

",117,16,14,2018,tiger 5 birdie thru 7 two off lead hitting iron that are nsfw d western union 180 month nigerian dude email watching nokia 3210 this with an hdmi cable up my arse,0.0,0.0,neutral
37803,Want to go on a #sailing trip but you don't have the time or the money? Check out #VirtualReality #travelling via #360videos #forfree - shot with our #Nokia #OZO. #VR #Travel #WorldTour #Germany #LakeofConstance #Bodenseepic.twitter.com/BWZ2QRsmBs,21,16,0,2018,want sailing trip but you don t have time or money check out virtualreality travelling 360videos forfree shot with our nokia ozo travel worldtour germany lakeofconstance bodenseepic twitter com bwz2qrsmbs,0.0,0.0,neutral
37895,Nokia 8 Sirocco qualified as a YouTube Signature Device 2019 http://nokiamob.net/2018/08/11/nokia-8-sirocco-qualified-as-a-youtube-signature-device-2019/ …pic.twitter.com/rEK8KEk8yR,65,6,6,2018,nokia 8 sirocco qualified a youtube signature device 2019 nokiamob net 2018 08 11 nokia 8 sirocco qualified a youtube signature device 2019 pic twitter com rek8kek8yr,0.0,0.0,neutral
37907,Nokia Mobile launched Nokia Entertainment Flip cover for Nokia 2.1 http://nokiamob.net/2018/08/11/nokia-mobile-launched-nokia-entertainment-flip-cover-for-nokia-2-1/ …pic.twitter.com/q9NY6ytqlD,34,3,0,2018,nokia mobile launched nokia entertainment flip cover nokia 2 1 nokiamob net 2018 08 11 nokia mobile launched nokia entertainment flip cover nokia 2 1 pic twitter com q9ny6ytqld,0.0,0.0,neutral
38040,"hi looking for mutuals  rt/like/follow if you stan:
- Lorde 
- Marina and the Diamonds
- Lana Del Rey
- Tøp
- FKA twigs
- Ariana Grande
- Aurora
- BROCKHAMPTON
- Florence + The Machine
- Grimes !!
- Oh wonder 
- PRINCESS NOKIA",23,6,2,2018,looking mutuals rt like follow if you stan lorde marina diamond lana del rey tøp fka twig ariana grande aurora brockhampton florence machine grime wonder princess nokia,0.0,0.0,neutral
38075,I added a video to a @YouTube playlist http://youtu.be/w8iPULZRjoQ?a  NOKIA X5 AKA NOKIA 5.1 PLUS Review Unboxing Hands-on Hindi INDIA,22,7,6,2018,added video youtube playlist youtu be w8ipulzrjoq nokia x5 aka nokia 5 1 plus review unboxing hand hindi india,0.0,0.0,neutral
38081,Nokia 8 Sirocco is one of Google's YouTube Signature devices https://nokiapoweruser.com/nokia-8-sirocco-is-one-of-googles-youtube-signature-devices/ …pic.twitter.com/ywIqxoOpdb,73,10,4,2018,nokia 8 sirocco one google youtube signature device nokiapoweruser com nokia 8 sirocco one google youtube signature device pic twitter com ywiqxoopdb,0.0,0.0,neutral
38281,"Shot on Nokia 6 Processed 
@Nokiamobile @NokiamobileIN @Nokiapoweruser @NokiamobBlogpic.twitter.com/bUTmP5y1iU",77,6,5,2018,shot nokia 6 processed nokiamobile nokiamobilein nokiapoweruser nokiamobblogpic twitter com butmp5y1iu,0.0,0.0,neutral
38578,Android 9 Pie update for Nokia phones rolling out soon https://androidcommunity.com/android-9-pie-update-for-nokia-phones-rolling-out-soon-20181005/ …pic.twitter.com/7x9PUZ9jvJ,20,3,1,2018,android 9 pie update nokia phone rolling out soon androidcommunity com android 9 pie update nokia phone rolling out soon 20181005 pic twitter com 7x9puz9jvj,0.0,0.0,neutral
